ano,trimestre,id_calendario
2000,1,12000
2000,2,22000
2000,3,32000
2000,4,42000
2001,1,12001
2001,2,22001
2001,3,32001
2001,4,42001
2002,1,12002
2002,2,22002
2002,3,32002
2002,4,42002
2003,1,12003
2003,2,22003
2003,3,32003
2003,4,42003
2004,1,12004
2004,2,22004
2004,3,32004
2004,4,42004
2005,1,12005
2005,2,22005
2005,3,32005
2005,4,42005
2006,1,12006
2006,2,22006
2006,3,32006
2006,4,42006
2007,1,12007
2007,2,22007
2007,3,32007
2007,4,42007
2008,1,12008
2008,2,22008
2008,3,32008
2008,4,42008
2009,1,12009
2009,2,22009
2009,3,32009
2009,4,42009
2010,1,12010
2010,2,22010
2010,3,32010
2010,4,42010
2011,1,12011
2011,2,22011
2011,3,32011
2011,4,42011
2012,1,12012
2012,2,22012
2012,3,32012
2012,4,42012
2013,1,12013
2013,2,22013
2013,3,32013
2013,4,42013
2014,1,12014
2014,2,22014
2014,3,32014
2014,4,42014
2015,1,12015
2015,2,22015
2015,3,32015
2015,4,42015
2016,1,12016
2016,2,22016
2016,3,32016
2016,4,42016
2017,1,12017
2017,2,22017
2017,3,32017
2017,4,42017
2018,1,12018
2018,2,22018
2018,3,32018
2018,4,42018
2019,1,12019
2019,2,22019
2019,3,32019
2019,4,42019
2020,1,12020
2020,2,22020
2020,3,32020
2020,4,42020
2021,1,12021
2021,2,22021
2021,3,32021
2021,4,42021
2022,1,12022
2022,2,22022
2022,3,32022
2022,4,42022
2023,1,12023
2023,2,22023
2023,3,32023
2023,4,42023
2024,1,12024
2024,2,22024
2024,3,32024
2024,4,42024
2025,1,12025
2025,2,22025
2025,3,32025
2025,4,42025
2026,1,12026
2026,2,22026
2026,3,32026
2026,4,42026
2027,1,12027
2027,2,22027
2027,3,32027
2027,4,42027
2028,1,12028
2028,2,22028
2028,3,32028
2028,4,42028
2029,1,12029
2029,2,22029
2029,3,32029
2029,4,42029
2030,1,12030
2030,2,22030
2030,3,32030
2030,4,42030
