sk_tempo,sk_cor,sk_estado,qtd_pessoas,qtd_graduacao,qtd_ocupados,renda_media,horastrab_media,id
32020,2,11,645,6,310,1543.9512195121952,34.95161290322581,1
32020,2,12,851,8,314,1605.186274509804,31.394904458598727,2
32020,2,13,1482,8,676,1429.670796460177,32.17011834319526,3
32020,2,14,652,8,274,1626.8364312267659,33.832116788321166,4
32020,2,15,1605,13,697,1289.337559429477,31.116212338593975,5
32020,2,16,547,5,200,1892.2604166666667,31.085,6
32020,2,17,483,4,238,1415.025974025974,33.31512605042017,7
32020,2,21,2916,17,916,1065.4222972972973,30.260917030567686,8
32020,2,22,1004,9,422,1063.368700265252,25.37440758293839,9
32020,2,23,2010,11,751,1154.1164095371669,31.26631158455393,10
32020,2,24,638,4,229,1173.9775784753363,30.100436681222707,11
32020,2,25,826,16,289,1786.3951048951049,32.346020761245676,12
32020,2,26,1519,5,544,1223.7153846153847,32.841911764705884,13
32020,2,27,1641,9,478,1047.0722100656455,31.52092050209205,14
32020,2,28,813,2,338,1241.422712933754,31.04437869822485,15
32020,2,29,1601,11,574,1249.967803030303,29.794425087108014,16
32020,2,31,2764,18,1442,1392.7703488372092,32.36407766990291,17
32020,2,32,994,4,529,1618.5865580448065,33.69754253308128,18
32020,2,33,1428,9,666,1682.2318181818182,35.46246246246246,19
32020,2,35,1379,8,721,1537.8019801980197,34.14424410540916,20
32020,2,41,741,14,420,1522.0990338164252,34.20238095238095,21
32020,2,42,448,3,285,1823.0428571428572,36.61052631578947,22
32020,2,43,358,2,200,1503.3244680851064,31.765,23
32020,2,50,577,1,300,1394.5627118644068,33.343333333333334,24
32020,2,51,934,12,491,1542.7333333333333,35.83910386965377,25
32020,2,52,1141,10,595,1755.8947368421052,35.258823529411764,26
32020,2,53,594,5,333,2198.309090909091,35.87987987987988,27
32020,9,11,257,5,146,2062.4701492537315,36.34931506849315,28
32020,9,12,175,5,80,2164.746835443038,32.3625,29
32020,9,13,231,2,116,2021.357142857143,35.06896551724138,30
32020,9,14,181,2,83,2449.7710843373493,33.55421686746988,31
32020,9,15,359,4,186,2158.1637426900584,34.354838709677416,32
32020,9,16,127,1,62,2716.366666666667,33.854838709677416,33
32020,9,17,155,4,78,2353.5,34.94871794871795,34
32020,9,21,619,2,270,1316.9961685823755,32.57037037037037,35
32020,9,22,283,4,139,1625.6969696969697,26.194244604316548,36
32020,9,23,683,7,308,1431.027972027972,32.503246753246756,37
32020,9,24,445,9,186,1478.7637362637363,29.99462365591398,38
32020,9,25,428,4,177,1810.2662721893491,31.84180790960452,39
32020,9,26,690,5,299,1859.540350877193,34.675585284280935,40
32020,9,27,610,4,204,1308.8148148148148,32.36764705882353,41
32020,9,28,232,1,101,1924.3541666666667,34.336633663366335,42
32020,9,29,495,6,184,1644.5757575757575,33.28804347826087,43
32020,9,31,1983,24,1167,1906.1158371040724,34.06426735218509,44
32020,9,32,713,11,471,2351.3477272727273,35.23991507430998,45
32020,9,33,1602,20,811,3065.1197530864197,34.362515413070284,46
32020,9,35,2584,31,1517,2789.804260985353,35.69676994067238,47
32020,9,41,1738,36,1131,2367.4774193548387,35.224580017683465,48
32020,9,42,2540,34,1806,2179.2995927865036,37.7281284606866,49
32020,9,43,2283,24,1515,2178.2340425531916,35.0957095709571,50
32020,9,50,479,10,305,2146.2937293729374,35.48196721311476,51
32020,9,51,414,7,263,3004.3607843137256,37.7148288973384,52
32020,9,52,668,13,386,2089.9557291666665,34.73575129533679,53
32020,9,53,382,3,237,3883.362068965517,35.07172995780591,54
32020,223,11,81,0,40,1493.861111111111,33.5,55
32020,223,12,63,1,27,958.7037037037037,29.185185185185187,56
32020,223,13,38,1,17,1045.6666666666667,33.11764705882353,57
32020,223,14,80,0,36,1395.1818181818182,33.5,58
32020,223,15,172,2,82,1272.56,32.6219512195122,59
32020,223,16,37,0,14,1723.8461538461538,32.57142857142857,60
32020,223,17,82,0,36,1745.2857142857142,33.5,61
32020,223,21,421,3,158,890.7763157894736,30.151898734177216,62
32020,223,22,110,2,54,1231.1923076923076,29.85185185185185,63
32020,223,23,137,3,57,1555.642857142857,32.45614035087719,64
32020,223,24,83,0,34,1339.5588235294117,31.970588235294116,65
32020,223,25,98,2,38,939.7297297297297,32.68421052631579,66
32020,223,26,166,0,52,978.5576923076923,32.57692307692308,67
32020,223,27,126,2,41,1096.1538461538462,31.048780487804876,68
32020,223,28,99,1,43,1019.4878048780488,31.325581395348838,69
32020,223,29,565,3,227,1092.212962962963,30.220264317180618,70
32020,223,31,575,6,314,1410.159090909091,32.732484076433124,71
32020,223,32,198,2,112,1330.6363636363637,33.160714285714285,72
32020,223,33,538,5,248,1503.274193548387,34.82258064516129,73
32020,223,35,364,4,179,1790.2022471910113,34.97206703910614,74
32020,223,41,97,4,65,1719.515625,33.63076923076923,75
32020,223,42,83,2,54,2117.2,37.31481481481482,76
32020,223,43,168,1,98,1603.9684210526316,31.785714285714285,77
32020,223,50,69,1,35,1480.7941176470588,27.34285714285714,78
32020,223,51,153,2,78,1525.3076923076924,34.32051282051282,79
32020,223,52,143,0,80,1411.8481012658228,34.025,80
32020,223,53,122,1,82,2264.390243902439,36.63414634146341,81
32020,605,11,4,0,4,996.0,36.0,82
32020,605,12,5,0,2,500.0,11.0,83
32020,605,13,34,0,13,881.5,25.615384615384617,84
32020,605,14,42,0,11,2062.5454545454545,37.72727272727273,85
32020,605,15,8,0,5,640.0,32.8,86
32020,605,16,1,0,1,1045.0,40.0,87
32020,605,17,2,0,2,2425.0,65.0,88
32020,605,21,28,0,7,657.1428571428571,21.714285714285715,89
32020,605,22,1,1,1,1500.0,48.0,90
32020,605,23,15,0,8,1079.375,36.0,91
32020,605,25,4,0,2,2250.0,32.0,92
32020,605,26,5,0,1,709.0,1.0,93
32020,605,27,8,0,4,686.25,34.5,94
32020,605,28,2,0,1,120.0,32.0,95
32020,605,29,15,1,6,300.8333333333333,19.5,96
32020,605,31,5,0,3,633.3333333333334,26.666666666666668,97
32020,605,32,4,0,3,925.0,39.666666666666664,98
32020,605,33,6,0,2,2200.0,0.0,99
32020,605,35,6,0,5,1550.0,27.6,100
32020,605,41,6,0,2,950.0,39.5,101
32020,605,42,7,0,3,1833.3333333333333,31.333333333333332,102
32020,605,43,4,0,2,1172.5,32.0,103
32020,605,50,12,0,2,1350.0,12.0,104
32020,605,51,5,0,1,1045.0,40.0,105
32020,605,52,3,0,2,1800.0,15.0,106
32020,605,53,5,0,4,1247.5,46.5,107
32020,6037,11,5,0,2,1946.0,47.0,108
32020,6037,13,5,0,3,966.6666666666666,29.0,109
32020,6037,14,1,0,0,0.0,0.0,110
32020,6037,15,6,0,3,2100.0,18.0,111
32020,6037,17,11,0,5,1836.25,35.2,112
32020,6037,21,36,0,12,3633.3333333333335,27.083333333333332,113
32020,6037,23,16,1,7,1705.0,37.42857142857143,114
32020,6037,24,1,0,1,1045.0,44.0,115
32020,6037,25,4,0,1,840.0,33.0,116
32020,6037,26,11,0,5,1269.0,37.6,117
32020,6037,27,17,1,8,818.5,29.875,118
32020,6037,28,2,0,1,1600.0,40.0,119
32020,6037,29,8,0,2,150.0,11.5,120
32020,6037,31,5,0,3,1146.6666666666667,43.333333333333336,121
32020,6037,32,6,0,2,800.0,30.0,122
32020,6037,33,9,0,4,8386.25,37.0,123
32020,6037,35,61,1,45,5258.619047619048,39.8,124
32020,6037,41,42,0,22,4993.181818181818,40.77272727272727,125
32020,6037,42,4,0,4,646.75,28.5,126
32020,6037,43,2,0,1,4000.0,44.0,127
32020,6037,50,6,0,6,2063.3333333333335,44.333333333333336,128
32020,6037,51,7,0,7,1812.857142857143,48.0,129
32020,6037,52,3,0,1,3000.0,56.0,130
32020,6037,53,7,1,3,1833.3333333333333,31.666666666666668,131
32020,49481,29,1,0,1,925.0,40.0,132
